manufacturer,Comment,Description,Designator,Footprint,LibRef,Quantity,JLCPCB PART#,ManIfacturer,Manifacturer,Manifacturer,Manufacturer 1,Manufacturer 2,Manufacturer Part Number 2,Manufacturer Part Number 1,Manufacturer Part Number,MPN,MP,LCSC Manufacturer Part Number,LCSC Part Number

"Panasonic Industry","47uF 80V","47 µF 80 V Aluminum Electrolytic Capacitors Radial, Can - SMD 2000 Hrs @ 105°C","C1","CAP_EEEFK1K470P","EEE-FK1K470P","1","","","","","","","","","","","","",""
"","CAP CER 0.22UF 50V X7R 0603","0.22 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","C2","SMC0603","CAP0603_0.22UF_50V","1","","","","","","","","","GCM188R71H224KA64D","","","",""
"","100nF 25V","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","C3","CAP0603","CAP0603_100nF","1","","","","","","","","","CL10B104KA8NNNC","","","","C1590"
"","0.1uF 16V","0.1 µF ±20% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","C4","CAP0603","C0603C104M4RACTU","1","","","","KEMET","","","","","","","","",""
"Taiyo Yuden","1uF","CAP CER 1UF 50V X5R 0603","C5","CAP0603","MSASU168SB5105MTNA01","1","","","","","","","","","","","","",""
"","0.1uF 100V","CAP CER 0.1UF 100V X7R 0603","C6","CAP0603","GRM188R72A104KA35D","1","","","","Murata Electronics","","","","","","","","",""
"","22uF 35V","22 µF ±20% 35V Ceramic Capacitor X5R 1206 (3216 Metric)","C7","CAP1206","CAP1206_22uF_35V","1","","","","","","","","","C3216X5R1V226M160AC","","","",""
"Cal-Chip Electronics, Inc.","1 µF","CAP0603 X7R 1UF 10% 25V","C8, C19","CAP 0603_1608","GMC10X7R105K25NT","2","","","","","","","","","","","","",""
"Murata Electronics","10 µF","CAP CER 10UF 50V X5R 0805","C9","CAP 0805_2012","GRM21BR61H106KE43L","1","","","","","","","","","","","","",""
"Murata Electronics","GCM188R71H104KA57J","CAP CER 0.1UF 50V X7R 0603","C10, C12, C13, C14, C15, C16","CAP 0603_1608","GCM188R71H104KA57J","6","","","","","","","","","","","","",""
"Murata Electronics","4.7 µF","CAP CER 4.7UF 50V X7R 0805","C11","CAP 0805_2012","GRM21BZ71H475KE15K","1","","","","","","","","","","","","",""
"Cal-Chip Electronics, Inc.","8.2 pF","CAP0402 COG 8.2PF 5% 25V","C17, C18","CAP 0402_1005","GMC04CG8R2J25NT","2","","","","","","","","","","","","",""
"KEMET","10000 pF","CAP CER 0603 10NF 16V X7R 10%","C20","CAP 0603_1608","C0603C103K4RECTU","1","","","","","","","","","","","","",""
"Cal-Chip Electronics, Inc.","47pF","47 pF ±1% 200V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)","C21, C24","CAPC1608X100N","GMC10CG470F200NT","2","","","","","","","","","","GMC10CG470F200NT","","",""
"Murata Electronics North America","10uF","CAP CER 10UF 25V X5R 0603","C22","0603_C","CAP1461","1","","","","","","","","","GRM188R61E106MA73D","","","",""
"","100nF","CAP CER 0.1UF 50V X7R 0603","C23","CAP0603","CAP0603_100nF","1","","","","","","","","","","","","",""
"Murata Electronics North America","10uF","CAP CER 10UF 25V X5R 0603","C25, C26","CAPC1608X100N","CAP1461","2","","","","","","","","","GRM188R61E106MA73D","","","",""
"","1uF 16V","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1.0uF 16volts X5R 10%","C27, C33, C43","CAPC1608X100N","VJ0603G105KXJCW1BC","3","","","","","","","","","","","","",""
"KEMET","10000pF","10000 pF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","C28, C32, C34, C36, C38, C42","CAPC1608X100N","C0603C103K4RECTU","6","0603","","","","","","","","","","","",""
"KEMET","10pF 50V","10 pF ±1% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)","C29, C30","CAPC1608X100N","C0603C100F5GACAUTO","2","","","","","","","","","","","","",""
"Panasonic Industry","100uF 25V","100 µF 25 V Aluminum - Polymer Capacitors Radial, Can - SMD 24mOhm 5000 Hrs @ 105°C","C31","CAP_25SVPF100M","25SVPF100M","1","C136279","","","","","","","","","","","",""
"Walsin Technology Corporation","2.2uF","2.2 µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric)","C35, C37, C39, C41","CAPC1608X100N","0603X225K250CT","4","C237194","","","","","","","","","","","",""
"Vishay Vitramon","0.1uF 16V","0.1 µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","C40","CAPC1608X100N","VJ0603Y104KXJAC","1","","","","","","","","","","","","",""
"Cal-Chip Electronics, Inc.","150pF 50V","150 pF ±2% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C44, C55","CAPC1005X04L","GMC04CG151G50NT","2","","","","","","","","","","","","",""
"Cal-Chip Electronics, Inc.","10pF 50V","CAP0402 COG 10PF 2% 50V","C45, C48, C50, C54","CAPC1005X04L","GMC04CG100G50NT","4","","","","","","","","","","","","",""
"Cal-Chip Electronics, Inc.","33pF 50V","33 pF ±1% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C46, C52","CAPC1005X04L","GMC04CG330F50NT","2","","","","","","","","","","","","",""
"","180pF 50V","180 pF ±1% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C47, C53","CAPC1005X04L","GMC04CG181F50NT","2","","","","","","","","","","","","",""
"Cal-Chip Electronics, Inc.","360pF 50V","360 pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C49, C51","CAPC1005X04L","GMC04CG361J50NT","2","","","","","","","","","","","","",""
"Littelfuse Inc.","SMDJ33CA","53.3V Clamp 56.3A Ipp Tvs Diode Surface Mount DO-214AB (SMCJ)","D1","DIONM7959X262N","SMDJ33CA","1","","","","","","","","","","","","",""
"Lite-On Inc.","LTST-C191KRKT","LED RED CLEAR SMD","D2","LED0603","LED_1","1","","","","","","","","","LTST-C191KRKT","","","",""
"Lite-On Inc.","LED RED CLEAR SMD","Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)","D3, D4","Lite-On_RED_0603","LTST-C191KRKT_2","2","","","","","","","","","LTST-C191KRKT","","","",""
"Littelfuse Inc.","0452002.MRL","2 A 125 V 125 V Fuse Board Mount (Cartridge Style Excluded) Surface Mount 2-SMD, Square End Block","F1","FUSC6127X294N","0452002.MRL","1","","","","","","","","","","","","",""
"Murata","BLM21PG121SN1D","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max","FB1, FB2","INDC2012X11L","FB0402-120R@100M-500mA","2","","","","","","","","","BLM15AG121SN1D","","","",""
"","ACT45B-510-2P-TL003","51 ÂµH @ 100 kHz 2 Line Common Mode Choke Surface Mount 2.8 kOhms @ 10 MHz 200mA DCR 1Ohm","FL1","FIL_ACT45B-510-2P-TL003","ACT45B-510-2P-TL003","1","","","","","","","","","","","ACT45B-510-2P-TL003","",""
"","BLM18PG221SN1D","220 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 1.4A 100mOhm","FL2","BEADC1608X95N","BLM18PG221SN1D","1","","","","","","","","","","","BLM18PG221SN1D","",""
"","0430450400","Connector Header Through Hole, Right Angle 4 position 0.118"" (3.00mm)","J1","CONN_SD-43045-001_04_MOL","0430450400","1","","","","MOLEX","","","","","","","","",""
"","SWR201-NRTN-S03-SA-WH","Connector","J2","SHDR3W50P0X200_1X3_790X460X630P","SWR201-NRTN-S03-SA-WH","1","","","","","","","","","","","","",""
"","CONN HEADER SMD 10POS 1.27MM","Connector Header Surface Mount 10 position 0.050"" (1.27mm)","J3","Samtec_0_MFG","FTSH-105-01-F-DV-K","1","","","","","","","","","FTSH-105-01-F-DV-K","","","",""
"","61300211821","2 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Gold","J4","61300211821","61300211821","1","","","","Würth Elektronik","","","","","","","","",""
"","18uH","18 µH Semi-Shielded Drum Core, Wirewound Inductor 2.2 A 81mOhm Nonstandard","L1","WE-LQS_6045","74404064180","1","","","","","","","","","","","","",""
"","LQW18CNR47J0HD","Description","L2, L3","IND_LQW18CN_0H_MUR","LQW18CNR47J0HD","2","","","","","","","","","","","","",""
"","BSC028N06NS","MOSFET'ler N-Ch 60V 100A TDSON-8 OptiMOS 3","M1","BSC028N06NS","BSC028N06NS","1","","","","","","","","","","","","",""
"","RC0603FR-07100KL","RES SMD 100K OHM 1% 1/10W 0603","R1","FP-RC0603-0_55-MFG","CMP-2100-03662-2","1","","","","","","","","","","","","",""
"","RES 10K OHM 1% 1/8W 0603","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Anti-Sulfur Thin Film","R2","RES0603","RES0603_10K_%1_1","1","","","","","","","","","RNCP0603FTD10K0","","","MCT06030C1002FP500","C161803"
"","88.7k","88.7 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film","R3","RES0603","CRCW060388K7FKEA","1","","","","","","","","","","","","",""
"","22.1k","22.1 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","R4","RES0603","RC0603FR-0722K1L","1","","","","","","","","","","","","",""
"TE Connectivity Passive Product","330 Ohms","RES SMD 330 OHM 1% 1/5W 0603","R5","RES 0603_1608","CRGH0603F330R","1","","","","","","","","","","","","",""
"Stackpole Electronics Inc","10 kOhms","RES 10K OHM 1% 1/16W 0402","R6, R7, R8, R9","RES 0402_1005","RMCF0402FT10K0","4","","","","","","","","","","","","",""
"Stackpole Electronics Inc","0 Ohms","RES 0 OHM JUMPER 1/16W 0402","R10","RES 0402_1005","RMCF0402ZT0R00","1","","","","","","","","","","","","",""
"Stackpole Electronics Inc","1 kOhms","RES 1K OHM 1% 1/16W 0402","R11, R12","RES 0402_1005","RMCF0402FT1K00","2","","","","","","","","","","","","",""
"","56 Ohms","56 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R13, R14","RES_0402","RMCF0402FT56R0","2","","Stackpole Electronics Inc","","","","","","","","","","",""
"","330 Ohms","330 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R15","RES_0402","RMCF0402FT330R","1","","","","Stackpole Electronics Inc","","","","","","","","",""
"Stackpole Electronics Inc","10 kOhms","RES 10K OHM 0.1% 1/16W 0603","R16, R17","RES 0603_1608","RNCS0603BKE10K0_1","2","","","","","","","","","","","","",""
"TE Connectivity Passive Product","560mOhms","560 mOhms ±1% 0.125W, 1/8W Chip Resistor 0402 (1005 Metric) Current Sense Thick Film","R18, R19","RES_0402","RLP73K1ER56FTDF","2","","","","","","","","","","","","",""
"","SMD","","T1, T2, T3, T4, T5, T6","TEST_POINT","TP","6","","","","","","","","","","","","",""
"","LM74700QDBVRQ1","OR Controller N+1 ORing Controller N-Channel 1:1 SOT-23-6","U1","SOT95P280X145-6N/LM74700QDBVRQ1","LM74700QDBVRQ1","1","","","","","","","","","","","","",""
"","LMR50410XDBVR","Buck Switching Regulator IC Positive Adjustable 1V 1 Output 1A SOT-23-6","U2","SOT95P280X145-6N/","LMR50410XDBVR","1","","","","","","","","","","LMR50410XDBVR","","",""
"","AP2112K-3.3TRG1","Linear Voltage Regulator IC Positive Fixed 1 Output 600mA SOT-25","U3","SOT95P285X140-5N","AP2112K-3.3TRG1","1","","","","","","","","","","","AP2112K-3.3TRG1","",""
"","STM32F103C8T6","ARM Cortex-M3 32-bit MCU, 64 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray","U4","LQFP48_STM","STM32F103C8T6","1","","","","","","","","","STM32F103C8T6","","","STM32F103C8T6","C8734"
"","SN65HVD232DR","1Mbps Transceiver 3V~3.6V SOIC-8 CAN ICs ROHS","U5","SOIC8","SN65HVD232DR","1","","","","","","","","","SN65HVD232DR","","","","C30530"
"IXYS Integrated Circuits Division","CPC1014NTR","SSR RELAY SPST-NO 400MA 0-60V","U6","4-SOP","CPC1014NTR","1","","","","","","","","","CPC1014NTR","","","",""
"","ST25R200-BMET","Powerful general-purpose NFC reader for consumer and industrial applications","U7","UFQFPN24_STM","ST25R200-BMET","1","","","","","","","","","","","","",""
"","CS11337-27.12M","27.12 MHz ±30ppm Crystal 6pF 60 Ohms 4-SMD, No Lead","U8","NX2016SA2712MHZEXS00ACS11337","CS11337-27.12M","1","","","NDK (NIHON DEMPA KOGYO CO., LTD)","","","","","","","","","",""
"","ECS-80-8-30Q-VS-TR","8 MHz Â±30ppm Crystal 8pF 100 Ohms 2-SMD, No Lead","Y1","XTAL_ECS-80-8-30Q-VS-TR","ECS-80-8-30Q-VS-TR","1","","","","","","","","","","","ECS-80-8-30Q-VS-TR","",""
